sac train | train | env_step=684/2024 | update=185 critic=0.005 actor=-2.585 alpha_loss=-19.633 alpha=0.189 q=1.687 entropy=4.794 replay=684 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train rollout | env_step=690/2024 | train_rollout_return=0.004 train_rollout_success=0.000 train_rollout_len=230.000 train_rollout_eps=3
sac train | train | env_step=699/2024 | update=190 critic=0.016 actor=-2.545 alpha_loss=-19.716 alpha=0.189 q=1.624 entropy=4.833 replay=699 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=714/2024 | update=195 critic=0.004 actor=-2.608 alpha_loss=-19.682 alpha=0.189 q=1.724 entropy=4.802 replay=714 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=729/2024 | update=200 critic=0.012 actor=-2.500 alpha_loss=-19.506 alpha=0.188 q=1.596 entropy=4.686 replay=729 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=744/2024 | update=205 critic=0.008 actor=-2.502 alpha_loss=-19.397 alpha=0.188 q=1.761 entropy=4.610 replay=744 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=759/2024 | update=210 critic=0.004 actor=-2.605 alpha_loss=-19.673 alpha=0.188 q=1.705 entropy=4.765 replay=759 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | env | env_step=774/2024 | replay=774
sac train | train | env_step=774/2024 | update=215 critic=0.004 actor=-2.609 alpha_loss=-19.924 alpha=0.188 q=1.740 entropy=4.905 replay=774 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=789/2024 | update=220 critic=0.004 actor=-2.641 alpha_loss=-19.657 alpha=0.187 q=1.760 entropy=4.734 replay=789 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=804/2024 | update=225 critic=0.004 actor=-2.669 alpha_loss=-19.711 alpha=0.187 q=1.779 entropy=4.756 replay=804 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=819/2024 | update=230 critic=0.005 actor=-2.679 alpha_loss=-19.807 alpha=0.187 q=1.782 entropy=4.803 replay=819 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=834/2024 | update=235 critic=0.004 actor=-2.640 alpha_loss=-19.613 alpha=0.186 q=1.814 entropy=4.677 replay=834 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=849/2024 | update=240 critic=0.002 actor=-2.713 alpha_loss=-19.747 alpha=0.186 q=1.798 entropy=4.746 replay=849 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=864/2024 | update=245 critic=0.006 actor=-2.645 alpha_loss=-19.697 alpha=0.186 q=1.767 entropy=4.706 replay=864 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=879/2024 | update=250 critic=0.216 actor=-2.668 alpha_loss=-19.942 alpha=0.186 q=1.876 entropy=4.841 replay=879 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=894/2024 | update=255 critic=0.006 actor=-2.870 alpha_loss=-19.963 alpha=0.185 q=1.925 entropy=4.843 replay=894 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | env | env_step=903/2024 | replay=903
sac train | train | env_step=909/2024 | update=260 critic=0.006 actor=-2.702 alpha_loss=-19.731 alpha=0.185 q=1.830 entropy=4.695 replay=909 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=924/2024 | update=265 critic=0.007 actor=-2.739 alpha_loss=-19.788 alpha=0.185 q=1.885 entropy=4.718 replay=924 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=939/2024 | update=270 critic=0.004 actor=-2.831 alpha_loss=-20.034 alpha=0.184 q=1.946 entropy=4.853 replay=939 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=954/2024 | update=275 critic=0.225 actor=-2.744 alpha_loss=-19.867 alpha=0.184 q=1.892 entropy=4.744 replay=954 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=969/2024 | update=280 critic=0.008 actor=-2.903 alpha_loss=-20.105 alpha=0.184 q=2.011 entropy=4.874 replay=969 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=984/2024 | update=285 critic=0.015 actor=-2.743 alpha_loss=-19.822 alpha=0.184 q=1.852 entropy=4.697 replay=984 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=999/2024 | update=290 critic=0.016 actor=-2.862 alpha_loss=-19.947 alpha=0.183 q=2.079 entropy=4.760 replay=999 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1014/2024 | update=295 critic=0.202 actor=-2.816 alpha_loss=-20.059 alpha=0.183 q=1.943 entropy=4.816 replay=1014 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1029/2024 | update=300 critic=0.012 actor=-2.930 alpha_loss=-20.097 alpha=0.183 q=2.016 entropy=4.827 replay=1029 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | env | env_step=1032/2024 | replay=1032
sac train | train | env_step=1044/2024 | update=305 critic=0.004 actor=-2.966 alpha_loss=-20.500 alpha=0.183 q=2.028 entropy=5.054 replay=1044 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1059/2024 | update=310 critic=0.005 actor=-2.930 alpha_loss=-19.970 alpha=0.182 q=2.062 entropy=4.732 replay=1059 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1074/2024 | update=315 critic=0.003 actor=-2.930 alpha_loss=-19.975 alpha=0.182 q=2.080 entropy=4.725 replay=1074 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1089/2024 | update=320 critic=0.006 actor=-2.986 alpha_loss=-20.234 alpha=0.182 q=2.064 entropy=4.866 replay=1089 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1104/2024 | update=325 critic=0.003 actor=-2.951 alpha_loss=-20.199 alpha=0.181 q=2.098 entropy=4.835 replay=1104 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1119/2024 | update=330 critic=0.011 actor=-2.999 alpha_loss=-20.178 alpha=0.181 q=2.069 entropy=4.812 replay=1119 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1134/2024 | update=335 critic=0.294 actor=-2.879 alpha_loss=-20.062 alpha=0.181 q=2.137 entropy=4.734 replay=1134 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1149/2024 | update=340 critic=0.030 actor=-3.157 alpha_loss=-19.956 alpha=0.181 q=2.262 entropy=4.662 replay=1149 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | env | env_step=1161/2024 | replay=1161
